x,x/log(x),sqrt(x),(log(x))^2
1000000,19.931568569324174,NAN,0
2000000,20.931568569324174,NAN,0
3000000,21.516531070045332,NAN,0
4000000,21.931568569324174,NAN,0
5000000,22.25349666421154,NAN,0
6000000,22.516531070045332,NAN,0
7000000,22.73892349138178,NAN,0
8000000,22.931568569324174,NAN,0
9000000,23.101493570766486,NAN,0
10000000,23.25349666421154,NAN,0
11000000,23.391000187961474,NAN,0
12000000,23.516531070045332,NAN,0
13000000,23.632008287465265,NAN,0
14000000,23.73892349138178,NAN,0
15000000,23.838459164932694,NAN,0
16000000,23.931568569324174,NAN,0
17000000,24.019031410574513,NAN,0
18000000,24.101493570766486,NAN,0
19000000,24.179496082767763,NAN,0
20000000,24.253496664211536,NAN,0
21000000,24.323885992102934,NAN,0
22000000,24.39100018796147,NAN,0
23000000,24.455130525381186,NAN,0
24000000,24.51653107004533,NAN,0
25000000,24.5754247590989,NAN,0
26000000,24.63200828746527,NAN,0
27000000,24.686456071487644,NAN,0
28000000,24.738923491381783,NAN,0
29000000,24.789549564451747,NAN,0
30000000,24.83845916493269,NAN,0
31000000,24.885764879711047,NAN,0
32000000,24.931568569324178,NAN,0
33000000,24.97596268868263,NAN,0
34000000,25.019031410574517,NAN,0
35000000,25.06085158626914,NAN,0
36000000,25.101493570766486,NAN,0
37000000,25.141021934953127,NAN,0
38000000,25.17949608276776,NAN,0
39000000,25.216970788186423,NAN,0
40000000,25.25349666421154,NAN,0
41000000,25.28912057394226,NAN,0
42000000,25.323885992102937,NAN,0
43000000,25.35783332402627,NAN,0
44000000,25.391000187961474,NAN,0
45000000,25.42342166565385,NAN,0
46000000,25.45513052538119,NAN,0
47000000,25.486157421001813,NAN,0
48000000,25.516531070045332,NAN,0
49000000,25.54627841343938,NAN,0
50000000,25.5754247590989,NAN,0
51000000,25.60399391129567,NAN,0
52000000,25.632008287465265,NAN,0
53000000,25.65948902388737,NAN,0
54000000,25.686456071487644,NAN,0
55000000,25.712928282848836,NAN,0
56000000,25.73892349138178,NAN,0
57000000,25.764458583488913,NAN,0
58000000,25.789549564451743,NAN,0
59000000,25.814211618686013,NAN,0
60000000,25.838459164932694,NAN,0
61000000,25.86230590688706,NAN,0
62000000,25.88576487971105,NAN,0
63000000,25.90884849282409,NAN,0
64000000,25.931568569324174,NAN,0
65000000,25.953936382352627,NAN,0
66000000,25.97596268868263,NAN,0
67000000,25.997657759781944,NAN,0
68000000,26.019031410574513,NAN,0
69000000,26.040093026102344,NAN,0
70000000,26.06085158626914,NAN,0
71000000,26.081315688828855,NAN,0
72000000,26.10149357076649,NAN,0
73000000,26.121393128204193,NAN,0
74000000,26.141021934953123,NAN,0
75000000,26.160387259820055,NAN,0
76000000,26.179496082767763,NAN,0
77000000,26.198355110019076,NAN,0
78000000,26.216970788186423,NAN,0
79000000,26.235349317501278,NAN,0
80000000,26.253496664211536,NAN,0
81000000,26.271418572208802,NAN,0
82000000,26.289120573942256,NAN,0
83000000,26.3066080006711,NAN,0
84000000,26.323885992102934,NAN,0
85000000,26.34095950546188,NAN,0
86000000,26.357833324026274,NAN,0
87000000,26.374512065172905,NAN,0
88000000,26.39100018796147,NAN,0
89000000,26.407302000290574,NAN,0
90000000,26.423421665653848,NAN,0
91000000,26.439363209522874,NAN,0
92000000,26.455130525381186,NAN,0
93000000,26.470727380432205,NAN,0
94000000,26.48615742100181,NAN,0
95000000,26.501424177655124,NAN,0
96000000,26.516531070045332,NAN,0
97000000,26.5314814115113,NAN,0
98000000,26.546278413439385,NAN,0
99000000,26.560925189403786,NAN,0
100000000,26.5754247590989,NAN,0
101000000,26.58978005207597,NAN,0
102000000,26.603993911295667,NAN,0
103000000,26.618069096507394,NAN,0
104000000,26.63200828746527,NAN,0
105000000,26.645814086990296,NAN,0
106000000,26.659489023887375,NAN,0
107000000,26.67303555572532,NAN,0
108000000,26.686456071487644,NAN,0
109000000,26.699752894101103,NAN,0
110000000,26.712928282848832,NAN,0
111000000,26.725984435674278,NAN,0
112000000,26.738923491381776,NAN,0
113000000,26.751747531739362,NAN,0
114000000,26.764458583488917,NAN,0
115000000,26.777058620268548,NAN,0
116000000,26.789549564451747,NAN,0
117000000,26.80193328890758,NAN,0
118000000,26.814211618686016,NAN,0
119000000,26.82638633263212,NAN,0
120000000,26.83845916493269,NAN,0
121000000,26.85043180659877,NAN,0
122000000,26.862305906887062,NAN,0
123000000,26.874083074663417,NAN,0
124000000,26.885764879711047,NAN,0
125000000,26.897352853986263,NAN,0
126000000,26.908848492824088,NAN,0
127000000,26.92025325609634,NAN,0
128000000,26.931568569324174,NAN,0
129000000,26.942795824747428,NAN,0
130000000,26.95393638235263,NAN,0
131000000,26.964991570861628,NAN,0
132000000,26.97596268868263,NAN,0
133000000,26.986851004825365,NAN,0
134000000,26.997657759781948,NAN,0
135000000,27.008384166375006,NAN,0
136000000,27.019031410574517,NAN,0
137000000,27.0296006522847,NAN,0
138000000,27.040093026102344,NAN,0
139000000,27.050509642047682,NAN,0
140000000,27.06085158626914,NAN,0
141000000,27.07111992172297,NAN,0
142000000,27.08131568882886,NAN,0
143000000,27.091439906102565,NAN,0
144000000,27.101493570766486,NAN,0
145000000,27.11147765933911,NAN,0
146000000,27.12139312820419,NAN,0
147000000,27.13124091416054,NAN,0
148000000,27.141021934953127,NAN,0
149000000,27.150737089786336,NAN,0
150000000,27.16038725982006,NAN,0
151000000,27.169973308649254,NAN,0
152000000,27.17949608276776,NAN,0
153000000,27.18895641201683,NAN,0
154000000,27.19835511001908,NAN,0
