Elements, Experiment 1, Experiment 2, Experiment 3, Epxeriment 4, Experiment 5, Average
16,6,9,6,7,5,6.6
32,6,6,8,7,6,6.6
64,12,12,10,11,11,11.2
128,17,14,13,13,17,14.8
256,17,18,14,17,16,16.4
512,18,21,18,18,18,18.6
1024,22,20,19,21,20,20.4
2048,22,25,20,21,22,22.0
4096,24,23,27,26,26,25.2
8192,30,30,30,33,28,30.2
16384,29,33,31,33,33,31.8
32768,35,33,32,36,38,34.8
