"a, b",pow1,pow2,pow3
"1, 1",0.008242600000812672,0.010383700006059371,0.01404000000184169
"1, 10",0.010061799999675713,0.025072399999771733,0.03215800000180025
"1, 100",0.0027276000037090853,0.07679009999992559,0.04437780000444036
"1, 1000",0.005878099997062236,0.87512119999883,0.05200580000382615
"1, 10000",0.005582499994488899,8.004482599993935,0.09187409999867668
